date,count,total_count,ratio
2026-03-08,1,78201,1.2787560261377732e-05
2026-03-15,4,76657,5.2180492322945065e-05
2026-03-22,8,76080,0.00010515247108307045
2026-03-29,18,75903,0.00023714477688628908
2026-04-05,3,79135,3.7909900802426235e-05
2026-04-12,6,80469,7.456287514446557e-05
2026-04-19,5,81691,6.120625283078919e-05
2026-04-26,13,87539,0.00014850523766549766
2026-05-03,9,83154,0.00010823291723789595
2026-05-10,37,84285,0.00043898677107433116
2026-05-17,41,86473,0.00047413643565043424
2026-05-24,9,82841,0.00010864185608575463
2026-05-31,25,74397,0.00033603505517695604
2026-06-07,27,80228,0.0003365408585531236
2026-06-14,34,81675,0.000416284052647689
2026-06-21,15,74263,0.0002019848376715188
2026-06-28,7,69550,0.000100647016534867
2026-07-05,42,65547,0.0006407615909194929
2026-07-12,18,65301,0.00027564662103183717
2026-07-19,15,62758,0.0002390133528793142
2026-07-26,3,12520,0.00023961661341853036
